name,address,city,state,zip,total_units, Price/Unit ,net_operating_income,cap_rate,asking_price,opportunity_zone,longitude,latitude
Rio Grande Valley Portfolio,930 W Expy 83,Mission,TX,78572,526,,"$3,332,446.00 ",5.50%,"$47,600,000.00 ",No,NA,NA
Marshall Meadows RV  Tiny Home Village,2226 Blocker Rd,Marshall,TX,75672,39,"$96,154 ","$379,455.00 ",10.12%,"$3,750,000.00 ",Yes,-94.2860349,32.4545889
Hiltop Rv Park and Storage,23420 Co Rd 64,Robertsdale,AL,36567,99,,,,"$4,500,000.00 ",No,NA,NA
Benson KOA Journey,180 W 4 Feathers Ln,Benson,AZ,85602,85,,,6.50%,"$2,100,000.00 ",No,-110.3022108,31.9883428
"Texas Oil Country - Snyder, TX - Scurry County - MHC",400 27th St,Snyder,TX,79549,16,"$83,333 ","$153,780.00 ",7.69%,"$2,000,000.00 ",No,-100.901253,32.7148937
El Camino MH  RV Park,1301 El Camino Ave,Sacramento,CA,95815,49,"$91,837 ","$340,059.00 ",7.56%,"$4,500,000.00 ",Yes,-121.4376162,38.6113028
Sundance 55 Mobile Home Park,2250 N Broadway,Escondido,CA,92026,88,,,,,No,-117.091513,33.1603137
Suwannee River Hideaway,1218 SE Hwy 346,Old Town,FL,32680,,"$31,461 ",,,"$2,800,000.00 ",No,-82.968124,29.552449
Country Village MHP,1601 State Rd,Cheraw,SC,29520,,"$36,842 ","$126,026.00 ",9.00%,"$1,400,000.00 ",No,-79.9265174,34.7063034
Midland Mobile Home  RV Park,5401 E County Road 120,Midland,TX,79706,31,"$43,548 ","$120,761.00 ",8.95%,"$1,350,000.00 ",No,-101.9799596,31.9809775
Ruidoso Portfolio,26536 US-70,Ruidoso Downs,NM,88346,147,,"$393,895.00 ",8.75%,"$4,500,000.00 ",No,NA,NA
Whitehaven Redevelopment Opportunity,3993 Elvis Presley Blvd,Memphis,TN,38116,,,"$125,000.00 ",,"$6,500,000.00 ",Yes,-90.025781,35.0396256
Attractive 109-Space MHC - Missouri,5315 Red Maple Ln,Fulton,MO,65251,109,,,,,No,-91.9762984,38.8177147
Bethel RV Campground,111 Elm Tree Ln,Canton,NC,28716,5,,,,"$1,350,000.00 ",No,-82.86449264,35.45798625
Pleasant Valley  Cool Mini Storage,4546 Pleasant Valley Rd,Placerville,CA,95667,107,"$23,598 ","$179,576.00 ",7.11%,"$2,525,000.00 ",No,NA,NA
Crawford County Estates MHP,Marshall Mill Rd at Sandy Point Rd,Lizella,GA,31052,,,,8.18%,"$2,500,000.00 ",No,-83.8454645,32.7607494
Bayou Mobile Estates,5901 E Texas St,Bossier City,LA,71111,80,"$55,625 ","$217,035.00 ",4.88%,"$4,450,000.00 ",No,-93.65391586,32.54113841
Prime RV Park,322 N Sunset Strip St,Kenedy,TX,78119,,,,,"$2,100,000.00 ",No,-97.85941874,28.8219691
Harvest Estates MHC,10557 N State Rte 50,Manteno,IL,60950,31,"$32,258 ","$82,542.00 ",8.25%,"$1,000,000.00 ",No,-87.81993687,41.27413943
Okeechobee RV and Mobile Home Park,3401 SE 34th Ave,Okeechobee,FL,34974,12,,,10.00%,"$1,300,000.00 ",No,-80.7943465,27.2126432
Starlite Mobile Home Park,153 W Pennsylvania Ave,New Stanton,PA,15672,12,,,,"$679,900.00 ",No,-79.6113654,40.2150989
"Myetta Meadows - Camdenton, MO",27 Sunrise Terrace Drive,Camdenton,MO,65020,,,"$106,481.00 ",7.10%,"$1,500,000.00 ",No,-92.70944059,37.9387595
Online Auction  Income ProducingRedevelopment Opportunity,18010 Butera Rd,Magnolia,TX,77355,16,,,,,No,-95.75166974,30.13383116
Merrill Mobile Manor,425 W Front St,Merrill,OR,97633,33,,"$97,502.00 ",6.50%,"$1,500,000.00 ",No,-121.6044303,42.0234477
Kathy O and L  L Mobile Home Community,909 Chugach Way,Anchorage,AK,99503,120,,,,"$6,100,000.00 ",Yes,-149.9005155,61.1869839
LC RV PARK,4909 Tucker Hill Ln,Cedar Creek,TX,78612,38,"$53,750 ",,8.03%,"$2,150,000.00 ",No,-97.5227821,30.1813351
Hidden Oaks MHP,25950 Thornton Rd,Thornton,CA,95686,,"$69,875 ","$40,006.00 ",7.16%,"$559,000.00 ",No,-121.4205575,38.22286042
Lake's Portfolio,24428 US-11,Calcium,NY,13616,134,,"$440,217.00 ",9.78%,"$4,500,000.00 ",No,-75.8520936,44.0201064
4 J's Trailer Park,123 McCord Ave,Bakersfield,CA,93308,,"$46,000 ","$69,920.00 ",7.60%,"$920,000.00 ",Yes,-119.0228523,35.4064799
Hamilton Trailer Park,11700 Thompson Ave,Sugar Creek,MO,64054,25,"$44,444 ","$79,593.00 ",6.63%,"$1,200,000.00 ",Yes,-94.437053,39.1035133
Tan Tara Estates Mobile Home Park,2520 New Era Rd,Murphysboro,IL,62966,98,"$32,653 ","$202,602.00 ",6.33%,"$3,200,000.00 ",No,-89.24579151,37.76175844
9709 Alameda Avenue,9709 Alameda Ave,Socorro,TX,79927,,,,,"$1,100,000.00 ",No,-106.3070152,31.67383608
Dix Mobile Home Park,1028 Dix Ave,Hudson Falls,NY,12839,38,,"$145,366.00 ",7.65%,"$1,900,000.00 ",No,-73.5946355,43.317461
AUCTION SALE  El Paso Estates,400 S Glenwood St,El Paso,TX,79905,35,,"$172,000.00 ",,,No,-106.420194,31.7572655
Town Creek Village Subdivision,24 Town Creek Ln,Talladega,AL,35160,40,,,,"$750,000.00 ",No,-86.1219079,33.4188886
34.5 Acre World-Class Motocross Training Facility,530 NW Gopher Ave,Greenville,FL,32331,,,,,"$1,400,000.00 ",No,-83.466891,30.616677
Baltic Avenue MHP,Flamingo Dr,London,KY,40744,,,,10.00%,"$495,000.00 ",No,-84.0976546,37.0785933
Miller Wilson Acres,6830 Miller Wilson Rd,Crosby,TX,77532,,,,,"$1,400,000.00 ",No,-95.0635082,29.9249412
Paxton MHP,U.S. 45 and East Chestnut Street,Paxton,IL,60957,21,,"$25,935.00 ",,"$340,000.00 ",No,-88.093499,40.4661752
AUCTION SALE  Sistersville Mobile Home  RV Park,30 Phillips Dr,Sistersville,WV,26175,39,,,,,No,-81.0437437,39.5274613
Sportsman Mobile Home Park,2653 Old Deridder Hwy,Lake Charles,LA,70615,52,,,,,No,-93.173329,30.275353
RV Park,399 County Rd 201,Bay City,TX,77414,1,,,,"$1,400,000.00 ",No,-95.63132469,28.78083186
Carolinas MHC Portfolio,508 Winter Rain Dr,Conway,SC,29527,104,"$66,346 ",,,"$6,900,000.00 ",No,NA,NA
Oakdale Mobile Home Park,10799 Sherman Grove Ave,Los Angeles,CA,91040,87,,"$472,800.00 ",5.00%,"$9,500,000.00 ",No,-118.3213034,34.2649369
65-Space RV Park - Stabilized with Extended Stay Demand,3200 Southeast Blvd,Wichita,KS,67216,,,,9.30%,,No,-97.3009287,37.6337023
Pahokee Beach RV  Mobile Home Park,297 W Main St,Pahokee,FL,33476,,,"$217,809.00 ",5.89%,"$3,700,000.00 ",Yes,-80.6685738,26.8232745
Arabian Mobile Home Park,46200 Calhoun St,Indio,CA,92201,83,,,5.88%,"$6,000,000.00 ",No,-116.2077694,33.71280423
Kremmling Central Park,1013 Park Ave,Kremmling,CO,80459,18,,"$116,859.00 ",6.49%,"$1,800,000.00 ",No,-106.3827199,40.0589058
Airway Estates,7640 OH-15,Defiance,OH,43512,42,,,,"$1,200,000.00 ",No,-84.4266788,41.3313478
Yosemite Park,5180 CA-140,Mariposa,CA,95338,,,"$252,000.00 ",8.40%,"$3,000,000.00 ",No,-119.9727436,37.4938509
Glenville Manor,413 Saratoga Rd,Schenectady,NY,12302,88,,"$290,159.00 ",6.00%,"$4,840,000.00 ",No,-73.929844,42.883575
Ponca City RV Park,1015 N Waverly St,Ponca City,OK,74601,34,"$38,235 ","$95,444.00 ",4.58%,"$1,300,000.00 ",Yes,-97.10202,36.714075
Jacksonville RV Park 8 CAP on Current Income,12300 Old Kings Rd,Jacksonville,FL,32219,,"$72,222 ",,,"$650,000.00 ",No,-81.7807143,30.45480538
3 Kentucky Mobile Home Parks,432 38th St,Catlettsburg,KY,41129,23,,,,"$650,000.00 ",No,NA,NA
Snowline MHP,5160 Pony Express Trail,Camino,CA,95709,22,"$77,273 ","$106,187.00 ",6.25%,"$1,700,000.00 ",No,-120.6284663,38.74615843
"11.227 ac  800 W Alabama, Sweetwater, TX",800 W Alabama Ave,Sweetwater,TX,79556,0,,,,"$132,000.00 ",No,-100.4102688,32.4603476
Suwannee River Bend RV Park,28872 SE Hwy 19,Old Town,FL,32680,,,,,"$3,999,000.00 ",No,-82.9417531,29.5894702
AUCTION SALE  Specialville Mobile Home Park,14136 S Wood St,Harvey,IL,60426,42,,,,,Yes,-87.66097067,41.63216866
Cardinal Mobile Home Park,126 Red Bird Ln,Boerne,TX,78006,19,,,8.30%,"$1,650,000.00 ",No,-98.7589241,29.7933798
Corpus Christi Mobile Home Development,6300 Old Brownsville Rd,Corpus Christi,TX,78417,481,,,10.00%,"$3,200,000.00 ",No,-97.48393234,27.73794499
Atkinson Estates MHC,109 S Pearl St,Atkinson,IL,61235,24,"$39,583 ","$94,087.00 ",9.90%,"$950,000.00 ",No,-90.0128266,41.4163231
Blair Ridge,120 Bear Ridge Rd,Dahlonega,GA,30533,11,,"$100,000.00 ",8.33%,"$1,200,000.00 ",No,-84.0110989,34.5401458
Walnut Grove,6104 Busiek Rd,Farmington,MO,63640,91,"$49,121 ",,,"$4,470,000.00 ",No,-90.3596879,37.7587997
Feather West RV Park,3922 Pentz Rd,Paradise,CA,95969,22,"$60,227 ","$102,205.00 ",7.71%,"$1,325,000.00 ",No,-121.573934,39.69401056
Davenport Estates MHC,6400 Rockingham Road,Davenport,IA,52802,18,"$43,056 ","$75,387.00 ",9.73%,"$775,000.00 ",No,-90.65435487,41.47734874
"MHC Portfolio - Lexington, SC",120 Sandy Springs Ln,Lexington,SC,29073,38,,"$285,312.00 ",6.79%,"$4,200,000.00 ",No,-81.2037635,33.9110979
90-Space Value Add MH  RV Property - Desirable Metro Area,511 County Rd 109,Daleville,AL,36322,90,,,,"$2,300,000.00 ",No,-85.76021117,31.2969524
Bend Mobile Home-RV Park,21795 Bend Ferry Rd,Red Bluff,CA,96080,44,,"$99,919.00 ",5.00%,"$1,990,000.00 ",No,-122.2257307,40.26419588
Vanover Farms,2125 E Southgate Rd,Enid,OK,73701,,,,,,Yes,-97.84797347,36.36172058
Wayside Mobile Home and RV Park,3760 Oregon Coast Hwy,Florence,OR,97439,57,"$99,123 ","$325,924.00 ",5.77%,"$5,650,000.00 ",No,-124.1003816,43.9992169
Cali Lake RV Resort,10645 Soledad Canyon Rd,Santa Clarita,CA,91390,47,"$126,596 ","$455,677.00 ",7.66%,"$5,950,000.00 ",No,-118.3200885,34.436594
Desert Springs RV Park,4117 Fleet St,Littlefield,AZ,86432,,,,,"$5,200,000.00 ",No,-113.906102,36.89916553
15657 S HWY 101 - Multi-Use Commercial Lot on Oregon Coast,15647 US-101,Brookings,OR,97415,,,,,"$1,200,000.00 ",No,-124.238732,42.033912
Cottonwood Ridge MHC,7252 Whitehouse Dr,Anderson,CA,96007,73,,,7.03%,"$4,300,000.00 ",No,-122.3706592,40.4950297
Wagon Wheel RV Park,"7990 HWY 264,",Dyer,NV,89010,,,,,"$900,000.00 ",No,-118.0975817,37.7756357
Domenics MH Estates,38015 30th St E,Palmdale,CA,93550,34,"$52,941 ","$65,932.00 ",,"$1,800,000.00 ",Yes,-118.0778603,34.5732804
Triangle Ct,Triangle Ct,Osage,IA,50461,,"$12,428 ","$54,481.00 ",12.52%,"$435,000.00 ",No,-92.8158642,43.2916863
Crossett Mini Storage Portfolio Price Reduction,1551 State Hwy 52 W,Crossett,AR,71635,214,,"$125,821.00 ",7.19%,"$1,750,000.00 ",Yes,NA,NA
52 Unit RV Park TURNKEY FOR SALE,11050 Co Rd 512,Fellsmere,FL,32948,52,,,,"$6,999,999.00 ",No,-80.553789,27.768061
Buena Vista Mobile Home Park,8415 Buena Vista Blvd,Lamont,CA,93241,60,"$61,667 ","$192,352.00 ",5.20%,"$3,700,000.00 ",No,-118.9104399,35.2365378
3-Park Utah Portfolio,250 W 900 S,Tooele,UT,84074,68,"$94,485 ","$321,137.00 ",5.00%,"$6,425,000.00 ",No,NA,NA
Roscoe St MHP,133 Roscoe St,Cusseta,GA,31805,48,,"$63,127.00 ",4.51%,"$1,400,000.00 ",No,-84.7684695,32.3099446
BIRCHWOOD RV PARK,10851 Lake Rd,Bottineau,ND,58318,52,"$12,264 ","$45,808.00 ",7.97%,"$575,000.00 ",No,-100.3827393,48.9877999
Pleasant Valley Mobile Home Park,765 Saratoga Rd,Gansevoort,NY,12831,17,,"$109,439.00 ",11.52%,"$950,000.00 ",No,-73.7640922,43.1483022
"2287 FM 549 Rockwall, TX",2287 S Farm To market 549,Rockwall,TX,75032,,,,,"$1,700,000.00 ",No,-96.4172201,32.8903844
Van Buren Mobile Home Community Investment,705 W Landess St,Van Buren,IN,46991,11,,,,"$230,000.00 ",No,-85.51202966,40.61954393
1142 Batter Street,1142 Batter St,Pattersonville,NY,12137,,,,,"$3,499,999.00 ",No,-74.15153,42.8229653
Anderson Mobile Home Park,3770 Park Dr,Meriden,KS,66512,37,"$29,730 ","$107,000.00 ",9.73%,"$1,100,000.00 ",No,-95.56353258,39.13960392
Lynchburg Estates,2521 Suburban Rd,Lynchburg,VA,24501,91,,"$289,294.00 ",5.40%,"$5,400,000.00 ",No,-79.1495358,37.3009421
Pilot Hill Mobile Home Park,4400 Salmon Falls Rd,Pilot Hill,CA,95664,21,,,,"$2,400,000.00 ",No,-121.017146,38.840583
Tumbleweed Estate,3910 W County Rd 118,Midland,TX,79706,14,,"$44,022.00 ",10.36%,"$425,000.00 ",No,-102.112187,31.9511949
Shop and Office  3 Apartments  19 Pad RV Park,Alkali Wy,Killdeer,ND,58640,23,"$52,632 ","$110,600.00 ",11.06%,"$1,000,000.00 ",No,-102.7561519,47.3627768
Rosewood Manor,1900 Broadway Ave,Hoquiam,WA,98550,46,"$76,087 ",,6.50%,"$3,500,000.00 ",No,-123.8807768,46.99768432
Shady Acres Mobile Home Park,475 E 4th S,Mountain Home,ID,83647,12,"$88,636 ","$83,294.00 ",,"$975,000.00 ",Yes,-115.6884865,43.1285845
9.5  Cap Rate- Rocky Branch Mobile Home Park,114 Cameron Dr,Rockingham,NC,28379,11,"$39,538 ","$48,780.00 ",9.50%,"$495,000.00 ",No,-79.78007208,34.90627197
Alligator Alley RV Park,240 Bolivar Ave,Anahuac,TX,77514,,"$32,353 ",,,"$1,100,000.00 ",Yes,-94.6859302,29.7712505
10-Unit Rental Property,2388 Robert Rd,Aransas Pass,TX,78336,10,,,,"$895,000.00 ",No,-97.1702471,27.9330761
1776 State Highway 2,71776 State Highway 2,Wrightwood,CA,92397,19,,,,"$1,795,999.00 ",No,-117.6410127,34.3646211
"51-Space Mobile Home Park  Cleburne, TX",4879 W Country Rd,Cleburne,TX,76033,51,,"$182,539.00 ",9.13%,"$2,000,000.00 ",No,-97.46432159,32.27583605
East to West RV Park  Storage,6300 FM 3081,Willis,TX,77378,45,"$31,111 ","$74,097.00 ",5.29%,"$1,400,000.00 ",No,-95.3090865,30.430364
Albertson Lake MHC,512 Balsam Ave,Frazee,MN,56544,11,"$53,226 ","$147,562.00 ",8.94%,"$1,650,000.00 ",No,-95.69304609,46.72275871
Bridgeview Marina and Resort,13947 Reel Ln,Madill,OK,73446,149,,,,"$6,800,000.00 ",No,-96.6288401,34.0265218
Dunwoody Mobile Home Park,602 N Main St,Leominster,MA,1453,18,,"$80,995.00 ",6.75%,"$1,200,000.00 ",No,-71.7657705,42.5517662
Branson Stagecoach RV Park and Campground,5751 Historic Hwy 165,Branson,MO,65616,59,,,,"$2,950,000.00 ",No,-93.3001835,36.5837757
"52 RV Lots - Established, Income Producing RV Resort",19230 Morris Ave,Manvel,TX,77578,52,,,,"$6,900,000.00 ",No,-95.3724415,29.4719691
Kickapoo Village,750 South Moreland Rd,Bethalto,IL,62010,89,"$42,685 ",,,"$3,799,000.00 ",No,-90.0304869,38.8958723
Mountain View Park,710 W Harvard Blvd,Santa Paula,CA,93060,46,"$71,630 ",,5.11%,"$3,295,000.00 ",No,-119.0815135,34.3390806
Orange Grove RV,5801 Orange Grove Rd,Moss Point,MS,39562,104,"$51,923 ","$123,411.00 ",2.29%,"$5,400,000.00 ",No,-88.458613,30.419767
Confidential IL MHP Listing 0081,000 Confidential St,Coultereville,IL,95311,32,"$18,750 ","$52,642.00 ",8.77%,"$600,000.00 ",No,NA,NA
Indian River Estates,35033 Eddy Rd,Theresa,NY,13691,103,,"$244,899.00 ",9.24%,"$2,650,000.00 ",No,-75.796116,44.17839
Studio 13 Motel  RV Park,1313 W Cherry St,Vermillion,SD,57069,18,,,,"$875,000.00 ",Yes,-96.9502712,42.7874141
South Houston Portfolio,511 Smith Ave,Pasadena,TX,77504,156,,,,,No,NA,NA
Income Producing RV ParkPrime Location,14102 County Rd 431,Tyler,TX,75706,46,"$67,391 ","$164,242.00 ",5.30%,"$3,100,000.00 ",No,-95.368669,32.470064
Gouverneur MHP,991 US-11,Gouverneur,NY,13642,20,,"$63,483.00 ",12.09%,"$525,000.00 ",No,-75.497097,44.314653
2 Park Portfolio,1220 E Havens Ave,Mitchell,SD,57301,230,,"$483,000.00 ",4.20%,"$12,000,000.00 ",No,NA,NA
7 Retail units  10 Trailer Leases on 5 Acre Commerical Lot,12302 James Madison Pkwy,King George,VA,22485,,,"$37,757.00 ",3.00%,"$1,070,000.00 ",No,-77.14813722,38.24254486
Buffalo Land Blue River RV Park,4700 OK-78,Milburn,OK,73450,57,"$14,286 ","$19,965.00 ",2.50%,"$800,000.00 ",No,-96.57187475,34.23776104
Turkey Creek RV Park,1376 US-65 BUS,Hollister,MO,65672,,,,,"$1,650,000.00 ",No,-93.2176766,36.6306863
Texas 46 RV Park,185 Mitchell Dr,Spring Branch,TX,78070,,,,,,No,-98.3782642,29.8103664
6061 Flamingo Rd,6061 Flamingo Rd,Rhodesdale,MD,21659,75,"$46,600 ",,,"$3,495,000.00 ",No,-75.710227,38.63331
"Vacant Mobile Home Park Land For Sale, Radcliff, Kentucky",225 Woodside Dr,Radcliff,KY,40160,,"$17,273 ",,,"$380,000.00 ",No,-85.91573575,37.81892305
"3182 Brownie Campbell Rd, Houston, TX 77038-1042",3182 Brownie Campbell Rd,Houston,TX,77038,6,,"$57,341.00 ",,,No,-95.4705449,29.9343596
San Antonio 2 Park Portfolio,2711 Mission Rd,San Antonio,TX,78214,39,"$39,744 ",,,"$1,550,000.00 ",Yes,NA,NA
"3 MHP Portfolio, Bertie County, NC",Bertie Park Ln,Ahoskie,NC,27924,42,,,,"$1,700,000.00 ",No,-76.9772009,36.1894786
Meadow Vista Mobile Home Park,1219 20th St,Murphysboro,IL,62966,15,,,,"$300,000.00 ",No,-89.3462272,37.7748893
3050 Elm,3050 Elm Rd NE,Warren,OH,44483,4,,,,"$675,000.00 ",No,-80.7830503,41.2624354
Cash Flowing Mobile Home Park,11 Electric St,Seville,OH,44273,8,"$405,000 ","$47,118.00 ",11.63%,"$405,000.00 ",No,-81.8655041,41.0110596
Dayton-Canton MHC Portfolio,3543 Needmore Rd,Dayton,OH,45414,660,,,,,No,-84.1613195,39.8223964
Winter Haven MHP,2335 S Broadway St,Truth or Consequences,NM,87901,24,"$26,042 ","$48,643.00 ",7.78%,"$625,000.00 ",Yes,-107.2791311,33.1230184
Cedar Cove,216 Cedar Cv Ln,Burfordville,MO,63739,21,"$52,381 ",,8.99%,"$1,100,000.00 ",No,-89.756974,37.378956
"Palm Springs MHP - Fayetteville, NC",1121 Palm Springs Drive,Fayetteville,NC,28311,49,,"$80,671.00 ",5.04%,"$1,600,000.00 ",No,-78.9157959,35.151822
Winfield Mobile Home Park,150 Barry Slaven Dr,Winfield,TN,37892,47,,,10.44%,"$1,250,000.00 ",No,-84.4472408,36.5491884
Midpoint Route 66 BBQ House,300 U.S. Rt. 66,Adrian,TX,79001,,,,,"$115,000.00 ",No,-102.6651902,35.27123094
Vance Village,1235 Vance Ave,Fort Wayne,IN,46805,11,"$54,455 ","$57,135.00 ",9.54%,"$599,000.00 ",No,-85.1228791,41.104522
16181 Lindstrom Rd,16181 Lindstrom Rd,Crosby,TX,77532,,,,,"$900,000.00 ",No,-95.0415128,29.9169043
For Sale I Hunters Ridge Cabins,24173 US-83,Concan,TX,78838,,,,,,No,-99.7221938,29.51257
42-Pad - Anchorage RV Park,2218 Johnson Rd,Aransas Pass,TX,78336,42,"$35,714 ","$164,036.00 ",10.94%,"$1,500,000.00 ",No,-97.1500169,27.9438035
Sandy Creek Resort RV Park  Mobile Home Campground,11941 U.S. Hwy 190,Livingston,TX,77351,77,"$27,273 ",,,"$2,100,000.00 ",No,-95.0762988,30.8097723
Billups,Calhoun Dr,"Liberty, NC.  27298",NC,27298,,,,,,No,-79.6515477,35.8996705
"Lake Charles Mobile Home Park, LA",2596 Highway 3059,Lake Charles,LA,70615,64,,"$122,275.00 ",7.19%,"$1,700,000.00 ",No,-93.17941641,30.27715225
North Shore Mobile Home Park,8610 E Houghton Lake Dr,Houghton Lake,MI,48629,,"$15,500 ","$30,974.00 ",,"$465,000.00 ",No,-84.7315881,44.3763544
"121 Fellowship Ln, Glide, Oregon",121 Fellowship Ln,Glide,OR,97443,12,,,,"$1,850,000.00 ",No,-122.930397,43.2435217
Lorain Mobile Home Park,5000 W Erie Ave,Lorain,OH,44053,26,"$42,308 ","$89,500.00 ",8.14%,"$1,100,000.00 ",No,-82.2314528,41.444305
Liberty MHP,187 Old Loomis Rd,Liberty,NY,12754,15,,"$52,755.00 ",8.12%,"$650,000.00 ",No,-74.790556,41.796432
Dixieland MHP,303 Sandal St,West Monroe,LA,71292,16,,,7.00%,"$410,000.00 ",No,-92.1597115,32.4739732
"Belfast, ME Portfolio",21 Patterson Hill Rd,Belfast,ME,4915,90,,,,,Yes,-69.0073913,44.4402299
Freeway Mobile Home Park,315 Vine St,Fernley,NV,89408,12,"$108,333 ","$93,027.00 ",7.16%,"$1,300,000.00 ",Yes,-119.2374586,39.6114275
Valley MHP,17612 US-90,Castroville,TX,78009,72,,,,"$3,000,000.00 ",No,-98.8497579,29.3548839
24 Lot Mobile Home Park  12.88 AC,200 W Creek Village,Morgantown,WV,26508,,,,,"$1,200,000.00 ",No,-79.8771119,39.618869
Central Park Estates MH  RV Park,840 N Fort Ave,Sierra Vista,AZ,85635,62,"$41,532 ","$163,256.00 ",6.34%,"$2,575,000.00 ",No,-110.3073421,31.5650449
Covered Bridge Mobile Home Park,8911 E Evans Creek Rd,Rogue River,OR,97537,27,"$84,630 ","$143,490.00 ",6.28%,"$2,285,000.00 ",No,-123.1482768,42.53975009
Vista Del Rio,17401 SE 39th St,Vancouver,WA,98683,213,,,,,No,-122.4932203,45.5896411
Prairie Estates Mobile Home Park,22825 CO-94,Calhan,CO,80808,,,,,"$7,700,000.00 ",No,-104.4048813,38.8377629
Ponderosa Lane Mobile Home Community,818 Ponderosa Ln,Cañon City,CO,81212,4,"$110,556 ","$80,958.00 ",8.14%,"$995,000.00 ",Yes,-105.1959195,38.46216308
On the Rim RV Park,HWY 441 SE,Okeechobee,FL,34974,,,"$208,957.00 ",9.00%,"$2,300,000.00 ",No,-80.6842759,27.1299246
Vinemont Village  Vinemont Estates,17949 US Hwy 31,Cullman,AL,35058,91,"$43,956 ","$396,896.00 ",9.92%,"$4,000,000.00 ",No,NA,NA
18.2 Acres in Cleveland,26003 TX-321,Cleveland,TX,77327,,,,,"$999,000.00 ",No,-95.046065,30.321621
Treasure Island 5 unit mobile home park,3431 SE 38th Ave,Okeechobee,FL,34974,,,,,"$575,000.00 ",No,-80.7903857,27.2121713
PB RV Park,8449 W 26th St,Odessa,TX,79763,,,"$72,500.00 ",10.00%,"$725,000.00 ",No,-102.4711448,31.84560672
W Commerce Drive,W Commerce Dr,Benson,AZ,85602,7,,,,"$150,000.00 ",No,-110.3086329,31.9803139
